dataset_id,table_id,table_type,clustering_fields,created,expires,friendly_name,full_table_id,partition_expiration,partitioning_type,path,project,reference,time_partitioning,view_use_legacy_sql
analytics_274239098,events_intraday_20211202,table,,2021-12-02 07:27:35.861000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211202,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211202,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211202,,
analytics_274239098,events_intraday_20211206,table,,2021-12-06 10:43:45.842000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211206,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211206,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211206,,
analytics_274239098,events_intraday_20211211,table,,2021-12-11 06:58:10.897000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211211,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211211,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211211,,
analytics_274239098,events_intraday_20211218,table,,2021-12-18 04:19:33.031000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211218,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211218,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211218,,
analytics_274239098,events_intraday_20211228,table,,2021-12-28 16:31:17.583000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211228,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211228,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211228,,
analytics_274239098,events_intraday_20211229,table,,2021-12-29 05:57:24.378000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20211229,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20211229,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20211229,,
analytics_274239098,events_intraday_20220104,table,,2022-01-04 16:32:06.294000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20220104,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20220104,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20220104,,
analytics_274239098,events_intraday_20220105,table,,2022-01-05 06:36:45.580000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20220105,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20220105,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20220105,,
analytics_274239098,events_intraday_20220106,table,,2022-01-06 07:55:11.003000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20220106,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20220106,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20220106,,
analytics_274239098,events_intraday_20220109,table,,2022-01-09 04:55:16.607000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20220109,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20220109,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20220109,,
analytics_274239098,events_intraday_20220112,table,,2022-01-12 16:35:46.910000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20220112,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20220112,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20220112,,
analytics_274239098,events_intraday_20220113,table,,2022-01-13 08:57:04.636000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20220113,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20220113,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20220113,,
analytics_274239098,events_intraday_20220114,table,,2022-01-14 03:27:06.119000+00:00,,,hubemployee-189ad:analytics_274239098.events_intraday_20220114,,,/projects/hubemployee-189ad/datasets/analytics_274239098/tables/events_intraday_20220114,hubemployee-189ad,hubemployee-189ad.analytics_274239098.events_intraday_20220114,,
